      1       15,00      16,00    2,37600    1,03803 
      2       13,70      14,00    1,33069    1,84496 
      3       10,70      11,00    5,23479    1,85664 
      4        8,70       9,00    2,35929    1,87071 
      5       15,70      16,00    4,73464    1,82713 
      6        4,70       5,00    1,18333    1,89066 
      7       15,70      16,00    2,53958    1,84272 
      8       16,70      17,00    4,06426    1,85747 
      9       11,70      12,00    1,32372    1,84913 
     10       46,70      47,00    6,55647    1,83136 
     11       20,70      21,00    1,85868    1,84246 
     12       13,00      14,00    2,32876    1,04162 
     13      145,70     146,00    6,62971    1,83183 
     14       27,00      31,00    1,06705    0,57431 
     15        9,70      10,00    5,65149    1,85245 
     16       11,70      12,00    3,38597    1,84475 
     17       14,70      15,00    2,68371    1,85037 
     18       92,70      93,00    6,65481    1,82235 
     19       10,70      11,00    1,16768    1,85629 
     20       63,00      64,00    4,03188    1,01738 
     21       63,70      64,00    6,69603    1,82180 
     22       15,70      16,00    5,18727    1,87865 
     23       12,70      13,00    2,12447    1,86571 
     24       11,70      12,00    5,68191    1,84750 
     25       21,00      22,00    2,55845    1,09899 
     26       40,70      41,00    3,99108    1,83069 
     27       84,70      85,00    5,00445    1,83357 
     28       49,00      50,00    4,71786    1,01883 
     29      135,00     136,00    4,99251    1,00005 
     30       95,70      96,00    6,91384    1,80365 
     31       57,70      58,00    6,02247    1,83132 
     32       16,70      17,00    3,92519    1,87023 
     33      115,70     116,00    6,08228    1,82947 
     34       24,70      25,00    3,74302    1,84317 
     35       54,70      55,00    5,26446    1,82999 
     36       11,70      12,00    3,07020    1,84105 
     37       35,70      36,00    4,14990    1,86454 
     38      116,00     117,00    4,56221    0,99954 
     39      129,70     130,00    6,25430    1,83122 
     40       11,70      12,00    3,84204    1,89403 
     41       53,70      54,00    4,31267    1,84350 
     42       77,70      78,00    6,40334    1,83145 
     43       15,70      16,00    4,80572    1,82223 
     44        9,70      10,00    1,21152    1,86962 
     45       15,70      16,00    2,90931    1,85789 
     46       98,70      99,00    5,81866    1,81396 
     47        6,00       7,00    1,00054    1,10459 
     48        2,00       3,00   -1,90988    1,28139 
     49       31,70      32,00    3,26450    1,85525 
     50       13,00      14,00    0,65076    1,06081 
     51        4,00       5,00   -0,64251    1,26404 
     52       11,70      12,00    2,72608    1,89793 
     53       11,70      12,00    2,34235    1,87033 
     54        9,70      10,00    1,72832    1,84850 
     55        9,70      10,00    1,13245    1,85872 
     56        6,00       7,00    0,70587    1,10393 
     57        9,70      10,00    1,11204    1,85738 
     58      158,70     159,00    6,62643    1,82703 
     59       52,00      53,00    3,83938    1,00782 
     60        1,70       2,00    0,22177    1,98733 
     61        4,70       5,00    0,56025    1,91800 
     62       11,70      12,00    2,71584    1,87933 
     63        8,70       9,00    3,60475    1,93384 
     64        3,00       5,00   -1,13246    1,13693 
     65        9,00      11,00    0,95927    0,79497 
     66        2,00       3,00    1,22084    1,23738 
     67       36,00      37,00    3,13187    1,04668 
     68        2,00       3,00    0,24100    1,27159 
     69        1,70       2,00   -0,38497    1,98408 
     70        3,00       6,00    0,94320    0,86543 
     71        1,00       2,00   -1,85959    1,44342 
     72       39,70      40,00    5,17510    1,81665 
     73        5,00       6,00    0,70211    1,13631 
     74        2,70       3,00    1,05611    1,94197 
     75       44,00      45,00    4,06078    1,00579 
     76        3,00       4,00    0,12684    1,18349 
     77        3,70       4,00    3,59059    1,90449 
     78        7,70       8,00    0,70567    1,86288 
     79       15,70      16,00    9,30497    1,84546 
     80       12,70      13,00    5,69530    1,85514 
     81       29,70      30,00    4,51280    1,82408 
     82        7,70       8,00    3,74944    1,87831 
     83        4,70       5,00    2,66705    1,87009 
     84       53,70      54,00    4,54043    1,83364 
     85       59,70      60,00    6,86280    1,81931 
     86       91,70      92,00    7,14421    1,83296 
     87       86,70      87,00    7,01266    1,83230 
     88        3,70       4,00    0,58293    1,96690 
     89        4,00       5,00   -0,30350    1,19984 
     90       13,70      14,00    1,65173    1,83341 
     91        3,00       5,00   -1,84922    0,92309 
     92       14,00      15,00    0,50451    1,04593 
     93       11,70      12,00    1,42897    1,85455 
     94       15,70      16,00    1,82616    1,84535 
     95        5,00       8,00   -1,99179    0,74933 
     96       21,00      22,00    1,41076    1,04900 
     97       13,70      14,00    1,53357    1,84041 
     98       41,70      42,00    3,28174    1,83571 
     99       29,70      30,00    2,29947    1,83211 
    100       37,70      38,00    4,28596    1,82069 
    101       13,70      14,00    4,64299    1,83398 
    102       22,70      23,00    2,07334    1,84049 
    103       13,70      14,00    1,73665    1,83017 
    104        7,70       8,00    3,15109    1,85823 
    105        9,70      10,00    1,46706    1,85294 
    106       39,70      40,00    6,43916    1,83379 
    107        3,70       4,00    1,56471    1,90674 
    108       59,70      60,00    4,90919    1,83169 
    109      100,70     101,00    6,56015    1,81126 
    110       45,70      46,00    5,22034    1,83382 
    111       43,70      44,00    5,79044    1,83549 
    112       86,70      87,00    6,76873    1,81993 
    113       17,70      18,00    3,74231    1,84792 
    114      191,70     192,00    7,22937    1,82601 
    115       33,70      34,00    4,94635    1,81787 
    116      153,70     154,00    6,96639    1,82889 
    117       86,70      87,00    6,26184    1,82503 
    118       39,70      40,00    5,00440    1,83490 
    119      100,70     101,00    6,66228    1,81039 
    120       61,70      62,00    5,32246    1,83024 
    121      116,70     117,00    6,40165    1,83473 
    122       23,70      24,00    4,56256    1,83777 
    123       73,70      74,00    5,49800    1,82324 
    124       88,70      89,00    6,14268    1,82074 
    125       85,70      86,00    5,96708    1,82270 
    126      160,70     161,00    7,12505    1,82783 
    127      121,70     122,00    6,91109    1,83334 
    128       11,70      12,00    2,25718    1,85503 
    129       47,70      48,00    4,56575    1,83438 
    130       28,00      30,00    0,62675    0,74288 
    131       76,70      77,00    5,54462    1,81970 
    132       34,70      35,00    2,87241    1,82240 
    133       15,70      16,00    1,78801    1,81915 
    134      120,70     121,00    6,82582    1,81647 
    135       56,00      58,00    4,89592    0,72442 
    136       40,70      41,00    6,01977    1,84134 
    137       11,70      12,00    2,72608    1,89793 
    138        9,70      10,00    2,56942    1,89475 
    139       54,70      55,00    6,43450    1,83670 
    140       44,70      45,00    4,79858    1,83678 
    141       53,70      54,00    5,48703    1,83881 
    142       28,70      29,00    5,77482    1,83628 
    143      124,70     125,00    9,25997    1,84452 
    144       16,70      17,00    2,05742    1,85627 
    145      125,70     126,00    6,42784    1,82972 
    146       46,70      47,00    5,81444    1,83591 
    147       32,70      33,00    5,09468    1,82034 
    148       72,70      73,00    9,07928    1,84829 
    149       53,70      54,00    6,33421    1,83504 
    150       33,70      34,00    4,87941    1,82017 
    151       33,70      34,00    6,26257    1,84139 
    152       59,70      60,00    5,44135    1,83046 
    153       24,70      25,00    3,12021    1,82834 
    154       19,70      20,00    5,87395    1,83878 
    155        4,70       5,00    0,58750    1,88401 
    156       13,70      14,00    2,18989    1,85040 
    157        8,70       9,00    4,08286    1,85730 
    158       11,70      12,00    1,49932    1,84356 
    159        6,00       7,00    3,49568    1,12598 
    160       23,70      24,00    5,96563    1,82744 
    161       67,00      70,00    3,76912    0,60725 
    162       10,00      12,00   -0,94259    0,79157 
    163       90,00      92,00    4,03093    0,74144 
    164       20,00      25,00    1,01388    0,52007 
    165      131,70     132,00    7,25624    1,82868 
    166       21,70      22,00    5,71547    1,83266 
    167        5,70       6,00    1,39507    1,90032 
    168       21,70      22,00    2,61912    1,84700 
    169       30,70      31,00    4,86985    1,83255 
    170       43,70      44,00    4,51602    1,81025 
    171       11,70      12,00    2,72757    1,89770 
    172       14,70      15,00    3,77955    1,89552 
    173       29,70      30,00    6,07608    1,82802 
    174       94,70      95,00    5,42032    1,81475 
    175        9,70      10,00    2,56942    1,89475 
    176       58,70      59,00    5,43545    1,83357 
    177       60,70      61,00    6,55743    1,82860 
    178       37,00      39,00    1,93970    0,77570 
    179       14,70      15,00    3,46007    1,83608 
    180       14,70      15,00    3,93629    1,85798 
    181        8,00      10,00    0,92631    0,94047 
    182       25,70      26,00    3,48810    1,84560 
    183       50,00      51,00    5,33995    1,02034 
    184       36,70      37,00    3,38467    1,83708 
    185        9,70      10,00    1,13245    1,85872 
    186       15,70      16,00    4,52582    1,83732 
